fen,eval
rn1qk2r/p1p1p1b1/2b2p2/1p2PPBp/2p1P3/P4KPN/1P5P/RN1Q1BR1 w q - 1 19,5.0100
rn1qk2r/p1p1p1b1/2b2p2/1p2PPBp/2pQP3/P4KPN/1P5P/RN3BR1 b q - 2 19,-5.6900
rn1qk2r/p1pbp1b1/5p2/1p2PPBp/2pQP3/P4KPN/1P5P/RN3BR1 w q - 3 20,3.7900
rn1qk2r/p1pbp1b1/5B2/1p2PP1p/2pQP3/P4KPN/1P5P/RN3BR1 b q - 0 20,1.3000
rn1qk2r/p1pbp3/5B1b/1p2PP1p/2pQP3/P4KPN/1P5P/RN3BR1 w q - 1 21,7.3700
rn1qk2r/p1pbp3/5B1b/1p2PP1p/2pQP3/P4KPN/1P2B2P/RN4R1 b q - 2 21,2.3800
rn1q1k1r/p1pbp3/5B1b/1p2PP1p/2pQP3/P4KPN/1P2B2P/RN4R1 w - - 3 22,5.7700
rn1q1k1r/p1pbp3/3Q1B1b/1p2PP1p/2p1P3/P4KPN/1P2B2P/RN4R1 b - - 4 22,-3.6900
rn1q1k1r/p1pb4/3p1B1b/1p2PP1p/2p1P3/P4KPN/1P2B2P/RN4R1 w - - 0 23,4.4000
rn1q1k1r/p1pb4/3p1B1b/1p2PP1p/2p1P3/P4KPN/1P2B2P/RN3R2 b - - 1 23,-2.0400
rn1qk2r/p1pb4/3p1B1b/1p2PP1p/2p1P3/P4KPN/1P2B2P/RN3R2 w - - 2 24,2.1900
rn1qk2r/p1pb4/3p1B1b/1p2PP1p/2p1P3/P5PN/1P2B1KP/RN3R2 b - - 3 24,1.8100
rn1qk2r/p1pb4/3p1B2/1p2PP1p/2p1P3/P5PN/1P1bB1KP/RN3R2 w - - 4 25,4.7600
rn1qk2r/p1pb4/3pPB2/1p3P1p/2p1P3/P5PN/1P1bB1KP/RN3R2 b - - 0 25,-3.2700
rn2k2r/p1pb4/3pPq2/1p3P1p/2p1P3/P5PN/1P1bB1KP/RN3R2 w - - 0 26,-3.3200
rn2k2r/p1pb4/3pPq2/1p3P1B/2p1P3/P5PN/1P1b2KP/RN3R2 b - - 0 26,-5.1200
rn5r/p1pbk3/3pPq2/1p3P1B/2p1P3/P5PN/1P1b2KP/RN3R2 w - - 1 27,-2.8100
rn2B2r/p1pbk3/3pPq2/1p3P2/2p1P3/P5PN/1P1b2KP/RN3R2 b - - 2 27,-5.1000
