fen,eval
r3k2r/1bq2ppp/p1nbpnN1/2p5/Pp2pB2/3P4/1PP1BPPP/RN1QR1K1 w kq - 4 13,2.1000
r3k2r/1bq2ppp/p1nbpnN1/2p5/Pp2pB2/3P4/1PPQBPPP/RN2R1K1 b kq - 5 13,-6.2800
r3k2r/1bq3pp/p1nbpnp1/2p5/Pp2pB2/3P4/1PPQBPPP/RN2R1K1 w kq - 0 14,-4.8600
r3k2r/1bq3pp/p1nbpnp1/2p5/Pp2pB2/3P2P1/1PPQBP1P/RN2R1K1 b kq - 0 14,-5.6000
r3k2r/1b2q1pp/p1nbpnp1/2p5/Pp2pB2/3P2P1/1PPQBP1P/RN2R1K1 w kq - 1 15,-4.7100
r3k2r/1b2q1pp/p1nbpnp1/2p3B1/Pp2p3/3P2P1/1PPQBP1P/RN2R1K1 b kq - 2 15,-5.7600
r3k2r/1b1q2pp/p1nbpnp1/2p3B1/Pp2p3/3P2P1/1PPQBP1P/RN2R1K1 w kq - 3 16,-5.1500
r3k2r/1b1q2pp/p1nbpnp1/2p3B1/Pp2p3/2PP2P1/1P1QBP1P/RN2R1K1 b kq - 0 16,-5.4500
r4rk1/1b1q2pp/p1nbpnp1/2p3B1/Pp2p3/2PP2P1/1P1QBP1P/RN2R1K1 w - - 1 17,-5.4400
r4rk1/1b1q2pp/p1nbpnp1/P1p3B1/1p2p3/2PP2P1/1P1QBP1P/RN2R1K1 b - - 0 17,-5.6200
r4rk1/1b1q2pp/p2bpnp1/P1p1n1B1/1p2p3/2PP2P1/1P1QBP1P/RN2R1K1 w - - 1 18,-5.1000
r4rk1/1b1q2pp/p2bpnp1/P1p1n3/1p2pB2/2PP2P1/1P1QBP1P/RN2R1K1 b - - 2 18,-5.6700
r4rk1/1b1q2pp/p2bpnp1/P1p1n3/1p3B2/2PPp1P1/1P1QBP1P/RN2R1K1 w - - 0 19,-5.4300
r4rk1/1b1q2pp/p2bpnp1/P1p1n3/1p3B2/2PPQ1P1/1P2BP1P/RN2R1K1 b - - 0 19,-5.9400
r4rk1/1b1q2pp/p2bp1p1/P1pnn3/1p3B2/2PPQ1P1/1P2BP1P/RN2R1K1 w - - 1 20,-5.5200
r4rk1/1b1q2pp/p2bp1p1/P1pnn3/1p3B2/2PPQ1P1/1P1NBP1P/R3R1K1 b - - 2 20,-6.8000
r4rk1/1b1q2pp/p2bp1p1/P1p1n3/1p3n2/2PPQ1P1/1P1NBP1P/R3R1K1 w - - 0 21,-4.5100
r4rk1/1b1q2pp/p2bp1p1/P1p1n3/1p1P1n2/2P1Q1P1/1P1NBP1P/R3R1K1 b - - 0 21,-6.5100
r4rk1/1b1q2pp/p2bp1p1/P3n3/1p1p1n2/2P1Q1P1/1P1NBP1P/R3R1K1 w - - 0 22,-6.0000
r4rk1/1b1q2pp/p2bp1p1/P3n3/1p1p1Q2/2P3P1/1P1NBP1P/R3R1K1 b - - 0 22,-6.7800
r5k1/1b1q2pp/p2bp1p1/P3n3/1p1p1r2/2P3P1/1P1NBP1P/R3R1K1 w - - 0 23,-6.9400
r5k1/1b1q2pp/B2bp1p1/P3n3/1p1p1r2/2P3P1/1P1N1P1P/R3R1K1 b - - 0 23,-7.4700
r5k1/3q2pp/b2bp1p1/P3n3/1p1p1r2/2P3P1/1P1N1P1P/R3R1K1 w - - 0 24,-7.5400
r5k1/3q2pp/b2bp1p1/P3n3/1pNp1r2/2P3P1/1P3P1P/R3R1K1 b - - 1 24,-9.2200
r5k1/3q2pp/b2bp1p1/P7/1pnp1r2/2P3P1/1P3P1P/R3R1K1 w - - 0 25,-8.9000
r5k1/3q2pp/b2bp1p1/P7/1pnp1r2/1PP3P1/5P1P/R3R1K1 b - - 0 25,-9.9000
r5k1/3q2pp/b2bp1p1/P7/1pnp4/1PP2rP1/5P1P/R3R1K1 w - - 1 26,-8.8200
r5k1/3q2pp/b2bp1p1/P7/1pnp4/1PP2rP1/5P1P/R4RK1 b - - 2 26,-9.8600
r5k1/3q2pp/b2bp1p1/P3n3/1p1p4/1PP2rP1/5P1P/R4RK1 w - - 3 27,-9.8700
r5k1/3q2pp/b2bp1p1/P3n3/1P1p4/1P3rP1/5P1P/R4RK1 b - - 0 27,-10.6500
r5k1/3q2pp/b2bp1p1/P3n3/1P1p4/1r4P1/5P1P/R4RK1 w - - 0 28,-9.5800
r5k1/3q2pp/b2bp1p1/P3n3/1P1p1P2/1r4P1/7P/R4RK1 b - - 0 28,-10.3600
r5k1/3q2pp/b2bp1p1/P3n3/1r1p1P2/6P1/7P/R4RK1 w - - 0 29,-10.0900
r5k1/3q2pp/b2bp1p1/P3P3/1r1p4/6P1/7P/R4RK1 b - - 0 29,-9.1100
r5k1/3q2pp/3bp1p1/P3P3/1r1p4/6P1/7P/R4bK1 w - - 0 30,-8.6200
r5k1/3q2pp/3bp1p1/P3P3/1r1p2P1/8/7P/R4bK1 b - - 0 30,-9.8800
r5k1/3q2pp/4p1p1/P3b3/1r1p2P1/8/7P/R4bK1 w - - 0 31,-8.4600
r5k1/3q2pp/4p1p1/P3b3/1r1p2P1/7P/8/R4bK1 b - - 0 31,-10.5600
r5k1/3q2pp/4p1p1/P3b3/1r1p2P1/7b/8/R5K1 w - - 0 32,-10.3900
r5k1/3q2pp/4p1p1/P3b1P1/1r1p4/7b/8/R5K1 b - - 0 32,-10.0000
r5k1/3q2pp/4p1p1/P3b1P1/1r1p2b1/8/8/R5K1 w - - 1 33,-10.5200
r5k1/3q2pp/4p1p1/P3b1P1/1r1p2b1/8/8/3R2K1 b - - 2 33,-12.3200
r5k1/2q3pp/4p1p1/P3b1P1/1r1p2b1/8/8/3R2K1 w - - 3 34,-12.0600
r5k1/2q3pp/P3p1p1/4b1P1/1r1p2b1/8/8/3R2K1 b - - 0 34,-10.0000
r5k1/q5pp/P3p1p1/4b1P1/1r1p2b1/8/8/3R2K1 w - - 1 35,-11.5300
r5k1/q5pp/P3p1p1/4b1P1/1r1p2b1/8/8/5RK1 b - - 2 35,-10.0000
r5k1/2q3pp/P3p1p1/4b1P1/1r1p2b1/8/8/5RK1 w - - 3 36,-11.4500
r5k1/2q3pp/P3pRp1/4b1P1/1r1p2b1/8/8/6K1 b - - 4 36,-10.0000
r5k1/2q3pp/P3pRp1/4b1P1/3p2b1/8/8/1r4K1 w - - 5 37,-10.0000
rnbqkb1r/ppp1pppp/5n2/3p4/P2P4/2P5/1P2PPPP/RNBQKBNR b KQkq - 0 3,-0.1100
rn1qkb1r/ppp1pppp/5n2/3p1b2/P2P4/2P5/1P2PPPP/RNBQKBNR w KQkq - 1 4,-0.0900
rn1qkb1r/ppp1pppp/5n2/3p1b2/P2P1B2/2P5/1P2PPPP/RN1QKBNR b KQkq - 2 4,-0.0500
rn1qkb1r/1pp1pppp/p4n2/3p1b2/P2P1B2/2P5/1P2PPPP/RN1QKBNR w KQkq - 0 5,0.1300
rn1qkb1r/1pp1pppp/p4n2/3p1b2/P2P1B2/1QP5/1P2PPPP/RN2KBNR b KQkq - 1 5,0.1300
rn1qkb1r/2p1pppp/pp3n2/3p1b2/P2P1B2/1QP5/1P2PPPP/RN2KBNR w KQkq - 0 6,0.0700
rn1qkb1r/2p1pppp/pp3n2/3p1b2/P2P1B2/1QP5/1P1NPPPP/R3KBNR b KQkq - 1 6,0.0000
rn1qkb1r/2p1ppp1/pp3n1p/3p1b2/P2P1B2/1QP5/1P1NPPPP/R3KBNR w KQkq - 0 7,-0.0600
rn1qkb1r/2p1ppp1/pp3n1p/3p1b2/P2P1B2/1QP4P/1P1NPPP1/R3KBNR b KQkq - 0 7,-0.1700
rn1qkb1r/2p2pp1/pp2pn1p/3p1b2/P2P1B2/1QP4P/1P1NPPP1/R3KBNR w KQkq - 0 8,-0.1300
rn1qkb1r/2p2pp1/pp2pn1p/3p1b2/P2P1B2/1QP2N1P/1P1NPPP1/R3KB1R b KQkq - 1 8,-0.2000
rn1qk2r/2p2pp1/pp1bpn1p/3p1b2/P2P1B2/1QP2N1P/1P1NPPP1/R3KB1R w KQkq - 2 9,-0.0400
rn1qk2r/2p2pp1/pp1bpn1p/3pNb2/P2P1B2/1QP4P/1P1NPPP1/R3KB1R b KQkq - 3 9,-0.3900
rn1q1rk1/2p2pp1/pp1bpn1p/3pNb2/P2P1B2/1QP4P/1P1NPPP1/R3KB1R w KQ - 4 10,-0.4700
rn1q1rk1/2p2pp1/pp1bpn1p/3pNb2/P2P1B2/1QP1P2P/1P1N1PP1/R3KB1R b KQ - 0 10,-0.3500
rn1q1rk1/2p2pp1/pp2pn1p/3pbb2/P2P1B2/1QP1P2P/1P1N1PP1/R3KB1R w KQ - 0 11,-0.0600
rn1q1rk1/2p2pp1/pp2pn1p/3pPb2/P4B2/1QP1P2P/1P1N1PP1/R3KB1R b KQ - 0 11,-0.6400
rn1q1rk1/2p2p2/pp2pn1p/3pPbp1/P4B2/1QP1P2P/1P1N1PP1/R3KB1R w KQ - 0 12,0.2300
rn1q1rk1/2p2p2/pp2pn1p/3pPbB1/P7/1QP1P2P/1P1N1PP1/R3KB1R b KQ - 0 12,-0.3700
rn1q1rk1/2p2p2/pp2pn2/3pPbp1/P7/1QP1P2P/1P1N1PP1/R3KB1R w KQ - 0 13,-0.3500
rn1q1rk1/2p2p2/pp2pn2/3pPbp1/P6P/1QP1P3/1P1N1PP1/R3KB1R b KQ - 0 13,-2.5600
rn1q1rk1/2pn1p2/pp2p3/3pPbp1/P6P/1QP1P3/1P1N1PP1/R3KB1R w KQ - 1 14,-2.4300
rn1q1rk1/2pn1p2/pp2p3/3pPbp1/P4P1P/1QP1P3/1P1N2P1/R3KB1R b KQ - 0 14,-2.9100
rn1q1rk1/2pn1p2/pp2p3/3pPb2/P4p1P/1QP1P3/1P1N2P1/R3KB1R w KQ - 0 15,-3.0300
rn1q1rk1/2pn1p2/pp2p3/3pPb2/P4p1P/1QP1PN2/1P4P1/R3KB1R b KQ - 1 15,-3.4300
rn1q1rk1/2p2p2/pp2p3/2npPb2/P4p1P/1QP1PN2/1P4P1/R3KB1R w KQ - 2 16,-3.4000
rn1q1rk1/2p2p2/pp2p3/2npPb2/PQ3p1P/2P1PN2/1P4P1/R3KB1R b KQ - 3 16,-3.8700
rn1q1rk1/2p2p2/pp2p3/2npP3/PQ2bp1P/2P1PN2/1P4P1/R3KB1R w KQ - 4 17,-3.1600
rn1q1rk1/2p2p2/pp2p3/2npP3/PQ2bP1P/2P2N2/1P4P1/R3KB1R b KQ - 0 17,-3.2100
r2q1rk1/2p2p2/ppn1p3/2npP3/PQ2bP1P/2P2N2/1P4P1/R3KB1R w KQ - 1 18,-3.2700
r2q1rk1/2p2p2/ppn1p3/2npP3/PQ2bP1P/2P2N1R/1P4P1/R3KB2 b Q - 2 18,-5.3500
r2q1rk1/2p2p2/ppn1p3/2npPb2/PQ3P1P/2P2N1R/1P4P1/R3KB2 w Q - 3 19,-3.4700
r2q1rk1/2p2p2/ppn1p3/2npPb2/P2Q1P1P/2P2N1R/1P4P1/R3KB2 b Q - 4 19,-5.9700
r2q1rk1/2p2p2/pp2p3/2npPb2/P2n1P1P/2P2N1R/1P4P1/R3KB2 w Q - 0 20,-4.6800
r2q1rk1/2p2p2/pp2p3/2npPb2/PP1n1P1P/2P2N1R/6P1/R3KB2 b Q - 0 20,-7.7300
r2q1rk1/2p2p2/pp2p3/2npPb2/PP3P1P/2P2N1R/2n3P1/R3KB2 w Q - 1 21,-7.4100
r2q1rk1/2p2p2/pp2p3/2npPb2/PP3P1P/2P2N1R/2n2KP1/R4B2 b - - 2 21,-7.8800
